"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.059014,0.16058,0,-0.10158,1,0.0145,0.0145,0.05,0.005
-0.059603,0.16123,0,-0.10179,1,0.0146,0.0146,0.05,0.005
-0.060192,0.16188,0,-0.10199,1,0.0147,0.0147,0.05,0.005
-0.06078,0.16254,0,-0.10219,1,0.0148,0.0148,0.05,0.005
-0.061369,0.16319,0,-0.10239,1,0.0149,0.0149,0.05,0.005
-0.061958,0.16384,0,-0.10259,1,0.015,0.015,0.05,0.005
-0.062582,0.16409,0,-0.10258,1,0.0151,0.0151,0.05,0.005
-0.063206,0.16434,0,-0.10257,1,0.0152,0.0152,0.05,0.005
-0.06383,0.16458,0,-0.10256,1,0.0153,0.0153,0.05,0.005
-0.064454,0.16483,0,-0.10255,1,0.0154,0.0154,0.05,0.005
-0.065078,0.16508,0,-0.10254,1,0.0155,0.0155,0.05,0.005
-0.065702,0.16533,0,-0.10253,1,0.0156,0.0156,0.05,0.005
-0.066326,0.16557,0,-0.10252,1,0.0157,0.0157,0.05,0.005
-0.066951,0.16582,0,-0.10251,1,0.0158,0.0158,0.05,0.005
-0.067575,0.16607,0,-0.10251,1,0.0159,0.0159,0.05,0.005
-0.068199,0.16632,0,-0.1025,1,0.016,0.016,0.05,0.005
-0.068823,0.16656,0,-0.10249,1,0.0161,0.0161,0.05,0.005
-0.069447,0.16681,0,-0.10248,1,0.0162,0.0162,0.05,0.005
-0.070071,0.16706,0,-0.10247,1,0.0163,0.0163,0.05,0.005
-0.070695,0.16731,0,-0.10246,1,0.0164,0.0164,0.05,0.005
-0.071319,0.16755,0,-0.10245,1,0.0165,0.0165,0.05,0.005
-0.071944,0.1678,0,-0.10244,1,0.0166,0.0166,0.05,0.005
-0.072568,0.16805,0,-0.10243,1,0.0167,0.0167,0.05,0.005
-0.073192,0.1683,0,-0.10242,1,0.0168,0.0168,0.05,0.005
-0.073816,0.16855,0,-0.10241,1,0.0169,0.0169,0.05,0.005
-0.07444,0.16879,0,-0.1024,1,0.017,0.017,0.05,0.005
-0.075064,0.16904,0,-0.1024,1,0.0171,0.0171,0.05,0.005
-0.075688,0.16929,0,-0.10239,1,0.0172,0.0172,0.05,0.005
-0.076312,0.16954,0,-0.10238,1,0.0173,0.0173,0.05,0.005
-0.076937,0.16978,0,-0.10237,1,0.0174,0.0174,0.05,0.005
-0.077561,0.17003,0,-0.10236,1,0.0175,0.0175,0.05,0.005
-0.078185,0.17028,0,-0.10235,1,0.0176,0.0176,0.05,0.005
-0.078809,0.17053,0,-0.10234,1,0.0177,0.0177,0.05,0.005
-0.079433,0.17077,0,-0.10233,1,0.0178,0.0178,0.05,0.005
-0.080057,0.17102,0,-0.10232,1,0.0179,0.0179,0.05,0.005
-0.080681,0.17127,0,-0.10231,1,0.018,0.018,0.05,0.005
